Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2019,IT_USE_II99,,F,Y15T49,PT,,41.0
2019,IT_USE_II99,NP1,F,Y15T49,PT,NP1,40.0
2019,IT_USE_II99,NP2,F,Y15T49,PT,NP2,29.3
2019,IT_USE_II99,NP3,F,Y15T49,PT,NP3,63.8
2019,IT_USE_II99,NP4,F,Y15T49,PT,NP4,59.6
2019,IT_USE_II99,NP5,F,Y15T49,PT,NP5,32.3
2019,IT_USE_II99,NP6,F,Y15T49,PT,NP6,14.7
2019,IT_USE_II99,NP7,F,Y15T49,PT,NP7,17.0
2019,IT_USE_II99,,M,Y15T49,PT,,60.6
2019,IT_USE_II99,NP1,M,Y15T49,PT,NP1,59.6
2019,IT_USE_II99,NP2,M,Y15T49,PT,NP2,49.8
2019,IT_USE_II99,NP3,M,Y15T49,PT,NP3,75.1
2019,IT_USE_II99,NP4,M,Y15T49,PT,NP4,76.5
2019,IT_USE_II99,NP5,M,Y15T49,PT,NP5,57.3
2019,IT_USE_II99,NP6,M,Y15T49,PT,NP6,33.1
2019,IT_USE_II99,NP7,M,Y15T49,PT,NP7,46.2
2019,_L_NP_17_08_01_1,,F,Y15T49,PT,,35.3
2019,_L_NP_17_08_01_1,NP1,F,Y15T49,PT,NP1,32.5
2019,_L_NP_17_08_01_1,NP2,F,Y15T49,PT,NP2,24.5
2019,_L_NP_17_08_01_1,NP3,F,Y15T49,PT,NP3,58.7
2019,_L_NP_17_08_01_1,NP4,F,Y15T49,PT,NP4,52.7
2019,_L_NP_17_08_01_1,NP5,F,Y15T49,PT,NP5,26.2
2019,_L_NP_17_08_01_1,NP6,F,Y15T49,PT,NP6,10.4
2019,_L_NP_17_08_01_1,NP7,F,Y15T49,PT,NP7,12.5
2019,_L_NP_17_08_01_1,,M,Y15T49,PT,,55.5
2019,_L_NP_17_08_01_1,NP1,M,Y15T49,PT,NP1,56.9
2019,_L_NP_17_08_01_1,NP2,M,Y15T49,PT,NP2,44.3
2019,_L_NP_17_08_01_1,NP3,M,Y15T49,PT,NP3,70.1
2019,_L_NP_17_08_01_1,NP4,M,Y15T49,PT,NP4,66.7
2019,_L_NP_17_08_01_1,NP5,M,Y15T49,PT,NP5,52.2
2019,_L_NP_17_08_01_1,NP6,M,Y15T49,PT,NP6,26.1
2019,_L_NP_17_08_01_1,NP7,M,Y15T49,PT,NP7,41.8
